taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason
1360116	Ferdauia ferdau	Ferdauia	Carangidae	Carangidae	Barred Trevally	50	340	False	False	False	ineligible	below_regional_or_global_threshold
47229	Selar crumenophthalmus	Selar	Carangidae	Carangidae	Bigeye Scad	28	421	False	False	False	ineligible	below_regional_or_global_threshold
173863	Atule mate	Atule	Carangidae	Carangidae	Barred Yellowtail Scad	22	143	False	False	False	ineligible	below_regional_or_global_threshold
333751	Megalaspis cordyla	Megalaspis	Carangidae	Carangidae	Torpedo Scad	20	160	False	False	False	ineligible	below_regional_or_global_threshold
182585	Selaroides leptolepis	Selaroides	Carangidae	Carangidae	Yellowstripe Scad	18	178	False	False	False	ineligible	below_regional_or_global_threshold
529703	Parastromateus niger	Parastromateus	Carangidae	Carangidae	Black Pomfret	17	107	False	False	False	ineligible	below_regional_or_global_threshold
1360060	Turrum coeruleopinnatum	Turrum	Carangidae	Carangidae	Coastal Trevally	15	81	False	False	False	ineligible	below_regional_or_global_threshold
1360115	Turrum fulvoguttatum	Turrum	Carangidae	Carangidae	Yellow Spotted Trevally	14	461	False	False	False	ineligible	below_regional_or_global_threshold
93641	Alectis ciliaris	Alectis	Carangidae	Carangidae	African Pompano	9	358	False	False	False	ineligible	below_regional_or_global_threshold
93643	Alepes vari	Alepes	Carangidae	Carangidae	Herring Scad	9	121	False	False	False	ineligible	below_regional_or_global_threshold
1360118	Scyris indica	Scyris	Carangidae	Carangidae	Diamond Trevally	8	129	False	False	False	ineligible	below_regional_or_global_threshold
194880	Caranx tille	Caranx	Carangidae	Carangidae	Tille Trevally	7	12	False	False	False	ineligible	below_regional_or_global_threshold
1360114	Turrum gymnostethus	Turrum	Carangidae	Carangidae	bludger	7	68	False	False	False	ineligible	below_regional_or_global_threshold
338255	Caranx papuensis	Caranx	Carangidae	Carangidae	Brassy Trevally	6	455	False	False	False	ineligible	below_regional_or_global_threshold
1360074	Atropus mentalis	Atropus	Carangidae	Carangidae	Cale Cale Trevally	5	64	False	False	False	ineligible	below_regional_or_global_threshold
1360112	Carangichthys oblongus	Carangichthys	Carangidae	Carangidae	Coach-whip Trevally	5	30	False	False	False	ineligible	below_regional_or_global_threshold
1360075	Ferdauia orthogrammus	Ferdauia	Carangidae	Carangidae	Island Jack	5	253	False	False	False	ineligible	below_regional_or_global_threshold
369212	Alepes kleinii	Alepes	Carangidae	Carangidae	Razorbelly Trevally	4	66	False	False	False	ineligible	below_regional_or_global_threshold
1360078	Atropus armatus	Atropus	Carangidae	Carangidae	Longfin Trevally	3	59	False	False	False	ineligible	below_regional_or_global_threshold
121225	Decapterus macarellus	Decapterus	Carangidae	Carangidae	Mackerel Scad	3	201	False	False	False	ineligible	below_regional_or_global_threshold
1360117	Platycaranx chrysophrys	Platycaranx	Carangidae	Carangidae	Longnose Trevally	3	102	False	False	False	ineligible	below_regional_or_global_threshold
84529	Alepes djedaba	Alepes	Carangidae	Carangidae	Shrimp scad	2	52	False	False	False	ineligible	below_regional_or_global_threshold
609905	Atropus atropos	Atropus	Carangidae	Carangidae	Cleftbelly Trevally	2	18	False	False	False	ineligible	below_regional_or_global_threshold
1360082	Carangichthys dinema	Carangichthys	Carangidae	Carangidae	Shadow Trevally	2	19	False	False	False	ineligible	below_regional_or_global_threshold
609908	Carangoides praeustus	Carangoides	Carangidae	Carangidae	Brownback Trevally	2	35	False	False	False	ineligible	below_regional_or_global_threshold
69775	Caranx lugubris	Caranx	Carangidae	Carangidae	Black Trevally	2	394	False	False	False	ineligible	below_regional_or_global_threshold
1360113	Atropus hedlandensis	Atropus	Carangidae	Carangidae	Port Hedland Trevally	1	49	False	False	False	ineligible	below_regional_or_global_threshold
529700	Caranx heberi	Caranx	Carangidae	Carangidae	Blacktip Trevally	1	71	False	False	False	ineligible	below_regional_or_global_threshold
529701	Decapterus kurroides	Decapterus	Carangidae	Carangidae	Redtail Scad	1	5	False	False	False	ineligible	below_regional_or_global_threshold
194881	Decapterus macrosoma	Decapterus	Carangidae	Carangidae	Slender Scad	1	14	False	False	False	ineligible	below_regional_or_global_threshold
123660	Decapterus tabl	Decapterus	Carangidae	Carangidae	Rough-ear Scad	1	5	False	False	False	ineligible	below_regional_or_global_threshold
51553	Seriola rivoliana	Seriola	Carangidae	Carangidae	Almaco Jack	1	537	False	False	False	ineligible	below_regional_or_global_threshold
451739	Trachurus novaezelandiae	Trachurus	Carangidae	Carangidae	Yellowtail Scad	1	1945	False	False	False	ineligible	below_regional_or_global_threshold
368836	Alepes apercna	Alepes	Carangidae	Carangidae	Smallmouth Scad	0	12	False	False	False	ineligible	below_regional_or_global_threshold
609904	Alepes melanoptera	Alepes	Carangidae	Carangidae	Blackfin Scad	0	12	False	False	False	ineligible	below_regional_or_global_threshold
208576	Campogramma glaycos	Campogramma	Carangidae	Carangidae	Vadigo	0	6	False	False	False	ineligible	below_regional_or_global_threshold
1360079	Carangichthys humerosus	Carangichthys	Carangidae	Carangidae	Dusky Shoulder Trevally	0	2	False	False	False	ineligible	below_regional_or_global_threshold
1360080	Carangoides ire	Carangoides	Carangidae	Carangidae	Persian Trevally	0	2	False	False	False	ineligible	below_regional_or_global_threshold
1316792	Caranx bartholomaei	Caranx	Carangidae	Carangidae	Yellow Jack	0	957	False	False	False	ineligible	below_regional_or_global_threshold
173861	Caranx bucculentus	Caranx	Carangidae	Carangidae	Bluespotted Trevally	0	30	False	False	False	ineligible	below_regional_or_global_threshold
96738	Caranx caballus	Caranx	Carangidae	Carangidae	Green Jack	0	493	False	False	False	ineligible	below_regional_or_global_threshold
96739	Caranx caninus	Caranx	Carangidae	Carangidae	Pacific Crevalle Jack	0	662	False	False	False	ineligible	below_regional_or_global_threshold
96740	Caranx crysos	Caranx	Carangidae	Carangidae	Blue Runner	0	2031	False	False	False	ineligible	below_regional_or_global_threshold
609909	Caranx fischeri	Caranx	Carangidae	Carangidae	Longfin Crevalle Jack	0	64	False	False	False	ineligible	below_regional_or_global_threshold
47230	Caranx hippos	Caranx	Carangidae	Carangidae	Atlantic Crevalle Jack	0	2168	False	False	False	ineligible	below_regional_or_global_threshold
47227	Caranx latus	Caranx	Carangidae	Carangidae	Horse-eye Jack	0	1487	False	False	False	ineligible	below_regional_or_global_threshold
120693	Caranx rhonchus	Caranx	Carangidae	Carangidae	Spotfin Scad	0	89	False	False	False	ineligible	below_regional_or_global_threshold
82330	Caranx ruber	Caranx	Carangidae	Carangidae	Bar Jack	0	3379	False	False	False	ineligible	below_regional_or_global_threshold
609910	Caranx senegallus	Caranx	Carangidae	Carangidae	Senegal Jack	0	19	False	False	False	ineligible	below_regional_or_global_threshold
96741	Caranx vinctus	Caranx	Carangidae	Carangidae	Barred Jack	0	20	False	False	False	ineligible	below_regional_or_global_threshold
179633	Chloroscombrus chrysurus	Chloroscombrus	Carangidae	Carangidae	Atlantic Bumper	0	681	False	False	False	ineligible	below_regional_or_global_threshold
97634	Chloroscombrus orqueta	Chloroscombrus	Carangidae	Carangidae	Pacific Bumper	0	41	False	False	False	ineligible	below_regional_or_global_threshold
451275	Decapterus koheru	Decapterus	Carangidae	Carangidae	Koheru	0	167	False	False	False	ineligible	below_regional_or_global_threshold
473385	Decapterus maruadsi	Decapterus	Carangidae	Carangidae	Japanese Scad	0	20	False	False	False	ineligible	below_regional_or_global_threshold
121226	Decapterus muroadsi	Decapterus	Carangidae	Carangidae	Temperate Scad	0	26	False	False	False	ineligible	below_regional_or_global_threshold
123659	Decapterus punctatus	Decapterus	Carangidae	Carangidae	Cigar Minnow	0	210	False	False	False	ineligible	below_regional_or_global_threshold
99146	Decapterus russelli	Decapterus	Carangidae	Carangidae	Indian Scad	0	13	False	False	False	ineligible	below_regional_or_global_threshold
1360076	Euprepocaranx dorsalis	Euprepocaranx	Carangidae	Carangidae	Threadfin Jack	0	39	False	False	False	ineligible	below_regional_or_global_threshold
179568	Hemicaranx amblyrhynchus	Hemicaranx	Carangidae	Carangidae	Bluntnose Jack	0	34	False	False	False	ineligible	below_regional_or_global_threshold
609912	Hemicaranx bicolor	Hemicaranx	Carangidae	Carangidae	Bicolor Jack	0	3	False	False	False	ineligible	below_regional_or_global_threshold
102475	Hemicaranx leucurus	Hemicaranx	Carangidae	Carangidae	Yellowfin Jack	0	8	False	False	False	ineligible	below_regional_or_global_threshold
102476	Hemicaranx zelotes	Hemicaranx	Carangidae	Carangidae	Blackfin Jack	0	3	False	False	False	ineligible	below_regional_or_global_threshold
1360103	Kaiwarinus equula	Kaiwarinus	Carangidae	Carangidae	Whitefin Trevally	0	17	False	False	False	ineligible	below_regional_or_global_threshold
118710	Naucrates ductor	Naucrates	Carangidae	Carangidae	Pilotfish	0	160	False	False	False	ineligible	below_regional_or_global_threshold
529702	Pantolabus radiatus	Pantolabus	Carangidae	Carangidae	Fringefin Trevally	0	26	False	False	False	ineligible	below_regional_or_global_threshold
1415142	Paraselene orstedii	Paraselene	Carangidae	Carangidae	Mexican Moonfish	0	5	False	False	False	ineligible	below_regional_or_global_threshold
1360058	Platycaranx malabaricus	Platycaranx	Carangidae	Carangidae	White-spot Trevally	0	7	False	False	False	ineligible	below_regional_or_global_threshold
1360055	Platycaranx talamparoides	Platycaranx	Carangidae	Carangidae	Imposter Trevally	0	12	False	False	False	ineligible	below_regional_or_global_threshold
1316791	Pseudocaranx cheilio	Pseudocaranx	Carangidae	Carangidae	Hawaiian Thicklipped Jack	0	5	False	False	False	ineligible	below_regional_or_global_threshold
204777	Pseudocaranx chilensis	Pseudocaranx	Carangidae	Carangidae	Juan Fernandez Trevally	0	18	False	False	False	ineligible	below_regional_or_global_threshold
204776	Pseudocaranx dentex	Pseudocaranx	Carangidae	Carangidae	Silver Trevally	0	770	False	False	False	ineligible	below_regional_or_global_threshold
