taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason	estimated_accepted_observations	planned_accepted_target
353491	Caesioperca rasor	Caesioperca	Anthiadidae	Anthiadidae	Barber Perch	0	7	False	False	False	ineligible	below_required_observation_threshold	2	0
411168	Caprodon longimanus	Caprodon	Anthiadidae	Anthiadidae	Longfin Perch	0	13	False	False	False	ineligible	below_required_observation_threshold	4	0
411183	Caprodon schlegelii	Caprodon	Anthiadidae	Anthiadidae	Sunrise Perch	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
100072	Epinephelides armatus	Epinephelides	Anthiadidae	Anthiadidae	Breaksea Cod	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
179570	Hemanthias leptus	Hemanthias	Anthiadidae	Anthiadidae	Longtail Bass	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
102462	Hemanthias signifer	Hemanthias	Anthiadidae	Anthiadidae	Damsel Bass	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
411109	Hypoplectrodes annulatus	Hypoplectrodes	Anthiadidae	Anthiadidae	Blackbanded Seaperch	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
411107	Hypoplectrodes huntii	Hypoplectrodes	Anthiadidae	Anthiadidae	Redbanded Perch	0	8	False	False	False	ineligible	below_required_observation_threshold	3	0
368725	Hypoplectrodes jamesoni	Hypoplectrodes	Anthiadidae	Anthiadidae	Jameson's Seaperch	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
411106	Hypoplectrodes maccullochi	Hypoplectrodes	Anthiadidae	Anthiadidae	Halfbanded Seaperch	0	17	False	False	False	ineligible	below_required_observation_threshold	6	0
411111	Hypoplectrodes nigroruber	Hypoplectrodes	Anthiadidae	Anthiadidae	Banded Seaperch	0	21	False	False	False	ineligible	below_required_observation_threshold	7	0
411108	Hypoplectrodes semicinctum	Hypoplectrodes	Anthiadidae	Anthiadidae	Tiger Seaperch	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
183189	Luzonichthys waitei	Luzonichthys	Anthiadidae	Anthiadidae	Magenta Slender Anthias	0	8	False	False	False	ineligible	below_required_observation_threshold	3	0
1356516	Mirolabrichthys evansi	Mirolabrichthys	Anthiadidae	Anthiadidae	Yellowback Anthias	0	16	False	False	False	ineligible	below_required_observation_threshold	6	0
1356514	Mirolabrichthys pascalus	Mirolabrichthys	Anthiadidae	Anthiadidae	Purple Queen Anthias	0	26	False	False	False	ineligible	below_required_observation_threshold	9	0
1356510	Mirolabrichthys tuka	Mirolabrichthys	Anthiadidae	Anthiadidae	Purple Queenfish	0	71	False	False	False	ineligible	below_required_observation_threshold	25	0
1356518	Nemanthias bartlettorum	Nemanthias	Anthiadidae	Anthiadidae	Bartlett's Anthias	0	5	False	False	False	ineligible	below_required_observation_threshold	2	0
1356519	Nemanthias bicolor	Nemanthias	Anthiadidae	Anthiadidae	Yellowback Basslet	0	5	False	False	False	ineligible	below_required_observation_threshold	2	0
179886	Nemanthias carberryi	Nemanthias	Anthiadidae	Anthiadidae	Threadfin Anthias	0	10	False	False	False	ineligible	below_required_observation_threshold	3	0
1356520	Nemanthias dispar	Nemanthias	Anthiadidae	Anthiadidae	Redfin Anthias	0	35	False	False	False	ineligible	below_required_observation_threshold	12	0
1356522	Nemanthias ignitus	Nemanthias	Anthiadidae	Anthiadidae	Flame Basslet	0	4	False	False	False	ineligible	below_required_observation_threshold	1	0
1356523	Nemanthias regalis	Nemanthias	Anthiadidae	Anthiadidae	Monarch Anthias	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
620634	Odontanthias unimaculatus	Odontanthias	Anthiadidae	Anthiadidae		0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
51081	Othos dentex	Othos	Anthiadidae	Anthiadidae	Harlequin Fish	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
1579632	Pseudanthias cheirospilos	Pseudanthias	Anthiadidae	Anthiadidae	Pacific Lyretail Anthias	0	232	False	False	False	ineligible	below_required_observation_threshold	80	0
620677	Pseudanthias connelli	Pseudanthias	Anthiadidae	Anthiadidae	Harlequin Goldie	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
362164	Pseudanthias cooperi	Pseudanthias	Anthiadidae	Anthiadidae	Silverstreak Anthias	0	9	False	False	False	ineligible	below_required_observation_threshold	3	0
359397	Pseudanthias fasciatus	Pseudanthias	Anthiadidae	Anthiadidae	Redstripe Basslet	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
620683	Pseudanthias hiva	Pseudanthias	Anthiadidae	Anthiadidae	Hiva Anthias	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
179885	Pseudanthias huchtii	Pseudanthias	Anthiadidae	Anthiadidae	Threadfin Anthias	0	97	False	False	False	ineligible	below_required_observation_threshold	34	0
179874	Pseudanthias hypselosoma	Pseudanthias	Anthiadidae	Anthiadidae	Stocky Anthias	0	19	False	False	False	ineligible	below_required_observation_threshold	7	0
496751	Pseudanthias luzonensis	Pseudanthias	Anthiadidae	Anthiadidae	Luzon Anthias	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
620689	Pseudanthias nobilis	Pseudanthias	Anthiadidae	Anthiadidae	Japanese Anthias	0	9	False	False	False	ineligible	below_required_observation_threshold	3	0
