taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
132687	Cirrhitichthys oxycephalus	Cirrhitichthys	Cirrhitidae	Cirrhitidae	338	broad_pretraining	44	44	0	0.231073	78	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
47578	Paracirrhites arcatus	Paracirrhites	Cirrhitidae	Cirrhitidae	287	broad_pretraining	64	64	0	0.231073	66	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
67658	Paracirrhites forsteri	Paracirrhites	Cirrhitidae	Cirrhitidae	625	broad_pretraining	152	152	0	0.231073	144	200	primary_train	v3_exact_label_count_meets_minimum
623850	Hypanus americanus	Hypanus	Dasyatidae	Dasyatidae	370	broad_pretraining	85	85	0	0.293482	109	200	reserve_backfill	near_minimum_or_projection_uncertain
113735	Taeniura lymma	Taeniura	Dasyatidae	Dasyatidae	381	broad_pretraining	138	138	0	0.293482	112	200	primary_train	v3_exact_label_count_meets_minimum
93673	Allomycterus pilatus	Allomycterus	Diodontidae	Diodontidae	337	broad_pretraining	76	76	0	0.296277	100	0	context_risk_holdout	class_concentrated_dead_caught_held_or_specimen_context
49269	Diodon holocanthus	Diodon	Diodontidae	Diodontidae	703	broad_pretraining	197	197	0	0.296277	208	200	primary_train	v3_exact_label_count_meets_minimum
52313	Diodon hystrix	Diodon	Diodontidae	Diodontidae	845	broad_pretraining	200	200	0	0.296277	250	200	primary_train	v3_exact_label_count_meets_minimum
48844	Echeneis naucrates	Echeneis	Echeneidae	Echeneidae	256	broad_pretraining	68	68	0	0.280616	72	200	reserve_backfill	near_minimum_or_projection_uncertain
57399	Fistularia commersonii	Fistularia	Fistulariidae	Fistulariidae	889	broad_pretraining	72	72	0	0.155613	138	200	reserve_backfill	near_minimum_or_projection_uncertain
101420	Gerres cinereus	Gerres	Gerreidae	Gerreidae	340	broad_pretraining	156	156	0	0.357743	122	200	primary_train	v3_exact_label_count_meets_minimum
49964	Ginglymostoma cirratum	Ginglymostoma	Ginglymostomatidae	Ginglymostomatidae	328	broad_pretraining	74	74	0	0.263461	86	200	reserve_backfill	near_minimum_or_projection_uncertain
118703	Gobius cobitis	Gobius	Gobiidae	Gobiidae	279	broad_pretraining	32	32	0	0.216044	60	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
